Sample	location	region
LO-PET2011-10	Petaluma River	San Pablo Bay
LO-PET2011-11	Petaluma River	San Pablo Bay
LO-PET2011-12	Petaluma River	San Pablo Bay
LO-PET2011-13	Petaluma River	San Pablo Bay
LO-PET2011-14	Petaluma River	San Pablo Bay
LO-PET2011-15	Petaluma River	San Pablo Bay
LO-PET2011-16	Petaluma River	San Pablo Bay
LO-PET2011-17	Petaluma River	San Pablo Bay
LO-PET2011-18	Petaluma River	San Pablo Bay
LO-PET2011-19	Petaluma River	San Pablo Bay
LO-PET2011-20	Petaluma River	San Pablo Bay
LO-PET2011-21	Petaluma River	San Pablo Bay
LO-PET2011-22	Petaluma River	San Pablo Bay
LO-PET2011-23	Petaluma River	San Pablo Bay
LO-NAPA2011-01	Napa River	San Pablo Bay
LO-NAPA2011-02	Napa River	San Pablo Bay
LO-NAPA2011-03	Napa River	San Pablo Bay
LO-NAPA2011-04	Napa River	San Pablo Bay
LO-NAPA2011-05	Napa River	San Pablo Bay
LO-NAPA2011-06	Napa River	San Pablo Bay
LO-NAPA2011-07	Napa River	San Pablo Bay
LO-NAPA2011-08	Napa River	San Pablo Bay
LO-NAPA2011-09	Napa River	San Pablo Bay
LO-NAPA2011-10	Napa River	San Pablo Bay
LO-NAPA2011-11	Napa River	San Pablo Bay
LO-NAPA2011-12	Napa River	San Pablo Bay
LO-NAPA2011-13	Napa River	San Pablo Bay
LO-NAPA2011-14	Napa River	San Pablo Bay
LO-NAPA2011-15	Napa River	San Pablo Bay
LO-NAPA2011-16	Napa River	San Pablo Bay
LO-NAPA2011-17	Napa River	San Pablo Bay
LO-NAPA2011-18	Napa River	San Pablo Bay
NAPA2012-01	Napa River	San Pablo Bay
NAPA2012-02	Napa River	San Pablo Bay
NAPA2012-03	Napa River	San Pablo Bay
NAPA2012-04	Napa River	San Pablo Bay
NAPA2012-05	Napa River	San Pablo Bay
NAPA2012-06	Napa River	San Pablo Bay
NAPA2012-07	Napa River	San Pablo Bay
NAPA2012-08	Napa River	San Pablo Bay
NAPA2012-09	Napa River	San Pablo Bay
NAPA2012-10	Napa River	San Pablo Bay
NAPA2012-11	Napa River	San Pablo Bay
NAPA2012-12	Napa River	San Pablo Bay
NAPA2012-13	Napa River	San Pablo Bay
NAPA2012-15	Napa River	San Pablo Bay
NAPA2012-16	Napa River	San Pablo Bay
NAPA2012-17	Napa River	San Pablo Bay
NAPA2012-18	Napa River	San Pablo Bay
NAPA2012-19	Napa River	San Pablo Bay
NAPA2012-20	Napa River	San Pablo Bay
NAPA2012-21	Napa River	San Pablo Bay
NAPA2012-22	Napa River	San Pablo Bay
NAPA2012-23	Napa River	San Pablo Bay
NAPA2012-24	Napa River	San Pablo Bay
NAPA2012-25	Napa River	San Pablo Bay
NAPA2012-26	Napa River	San Pablo Bay
NAPA2012-27	Napa River	San Pablo Bay
NAPA2012-28	Napa River	San Pablo Bay
NAPA2012-29	Napa River	San Pablo Bay
SP001W-01	San Pablo Bay	San Pablo Bay
SP001W-02	San Pablo Bay	San Pablo Bay
SP001W-03	San Pablo Bay	San Pablo Bay
